user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.'],Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,0.5,0.18101079846045356,0.9999999999,1.0
So ngay nghi phep co tang theo tham nien khong?,['Moi 5 nam tham nien cong them 1 ngay nghi phep.'],Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,1.0,0.0,0.9999999999,0.5
Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,['Nghi khong luong toi da 30 ngay moi nam va can phe duyet.'],Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,1.0,0.16120943508840122,0.9999999999,1.0
Don xin nghi phep can ai phe duyet?,['Don xin nghi phai duoc Giam doc bo phan phe duyet.'],Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,1.0,0.0,0.9999999999,1.0
Nghi om can nop giay xac nhan y te trong bao lau?,['Nghi om phai nop giay xac nhan trong 3 ngay lam viec.'],Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,0.0,0.147207281822863,0.9999999999,1.0
Mat khau he thong phai doi bao lau mot lan?,['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.'],Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,1.0,0.0,0.9999999999,1.0
Du lieu nhan su duoc luu toi da bao lau?,['Ho so nhan su luu tru toi da 5 nam.'],Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,1.0,0.11528028243734523,0.9999999999,1.0
Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,['Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.'],Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,0.0,0.050107050714691355,0.9999999999,1.0
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.'],Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,0.5,0.18101079846045356,0.9999999999,1.0
So ngay nghi phep co tang theo tham nien khong?,['Moi 5 nam tham nien cong them 1 ngay nghi phep.'],Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,1.0,0.0,0.9999999999,0.5
Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,['Nghi khong luong toi da 30 ngay moi nam va can phe duyet.'],Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,1.0,0.17479500868670544,0.9999999999,1.0
Don xin nghi phep can ai phe duyet?,['Don xin nghi phai duoc Giam doc bo phan phe duyet.'],Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,1.0,0.0,0.9999999999,1.0
Nghi om can nop giay xac nhan y te trong bao lau?,['Nghi om phai nop giay xac nhan trong 3 ngay lam viec.'],Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,0.0,0.14717370080654887,0.9999999999,1.0
Mat khau he thong phai doi bao lau mot lan?,['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.'],Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,1.0,0.0,0.9999999999,1.0
Du lieu nhan su duoc luu toi da bao lau?,['Ho so nhan su luu tru toi da 5 nam.'],Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,1.0,0.11579537827223335,0.9999999999,1.0
Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,['Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.'],Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,0.0,0.05013270148250826,0.9999999999,1.0
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.'],Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,0.5,0.18101079846045356,0.9999999999,1.0
So ngay nghi phep co tang theo tham nien khong?,['Moi 5 nam tham nien cong them 1 ngay nghi phep.'],Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,1.0,0.0,0.9999999999,0.5
Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,['Nghi khong luong toi da 30 ngay moi nam va can phe duyet.'],Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,1.0,0.17236321317090375,0.9999999999,1.0
Don xin nghi phep can ai phe duyet?,['Don xin nghi phai duoc Giam doc bo phan phe duyet.'],Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,1.0,0.0,0.9999999999,1.0
Nghi om can nop giay xac nhan y te trong bao lau?,['Nghi om phai nop giay xac nhan trong 3 ngay lam viec.'],Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,0.0,0.14718029264636745,0.9999999999,1.0
Mat khau he thong phai doi bao lau mot lan?,['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.'],Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,1.0,0.0,0.9999999999,1.0
Du lieu nhan su duoc luu toi da bao lau?,['Ho so nhan su luu tru toi da 5 nam.'],Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,1.0,0.11579537827223335,0.9999999999,1.0
Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,['Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.'],Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,0.0,0.050107050714691355,0.9999999999,1.0
