id,question,ground_truth,contexts,evolution_type
S01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple
S02,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,"[""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",simple
S03,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,"[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",simple
S04,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,"[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",simple
S05,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"[""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",simple
S06,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,"[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.""]",simple
S07,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,"[""Ho so nhan su luu tru toi da 5 nam.""]",simple
S08,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,"[""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",simple
S09,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple
S10,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,"[""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",simple
S11,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,"[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",simple
S12,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,"[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",simple
S13,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"[""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",simple
S14,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,"[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.""]",simple
S15,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,"[""Ho so nhan su luu tru toi da 5 nam.""]",simple
S16,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,"[""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",simple
S17,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple
S18,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,"[""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",simple
S19,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,"[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",simple
S20,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,"[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",simple
S21,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"[""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",simple
S22,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,"[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.""]",simple
S23,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,"[""Ho so nhan su luu tru toi da 5 nam.""]",simple
S24,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,"[""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",simple
S25,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple
R01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",reasoning
R02,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",reasoning
R03,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Don xin nghi phai duoc Giam doc bo phan phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",reasoning
R04,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,"Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Ho so nhan su luu tru toi da 5 nam.""]",reasoning
R05,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,"Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Ho so nhan su luu tru toi da 5 nam."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",reasoning
R06,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",reasoning
R07,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",reasoning
R08,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Don xin nghi phai duoc Giam doc bo phan phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",reasoning
R09,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,"Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Ho so nhan su luu tru toi da 5 nam.""]",reasoning
R10,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,"Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Ho so nhan su luu tru toi da 5 nam."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",reasoning
