id,question,answer_a,answer_b,run1_winner,run2_winner,winner_after_swap,score_a,score_b,position_flip,len_a,len_b
S01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Tom tat: Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,A,TIE,A,1.0,0.9,True,14,16
S02,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Tom tat: Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,TIE,TIE,TIE,1.0,1.0,False,14,16
S03,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Tom tat: Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,A,TIE,A,1.0,0.9,True,13,15
S04,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Tom tat: Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,TIE,TIE,TIE,1.0,1.0,False,12,14
S05,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec. Ngoai ra thong tin bo sung nay khong can thiet cho cau hoi.,TIE,TIE,A,1.0,0.9,False,13,26
S06,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,Tom tat: Mat khau phai duoc thay doi moi 90 ngay.,TIE,TIE,TIE,1.0,1.0,False,9,11
S07,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,"Can kiem tra lai quy dinh, hien tai chua co thong tin xac thuc.",A,B,A,1.0,0.15,False,15,14
S08,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Tom tat: Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,A,TIE,A,1.0,0.9,True,16,18
S09,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 15 ngay lam viec moi nam.,A,B,A,1.0,0.0,False,14,14
S10,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Ngoai ra thong tin bo sung nay khong can thiet cho cau hoi.,A,TIE,A,0.95,0.7,True,14,27
S11,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Tom tat: Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,A,TIE,A,1.0,0.9,True,13,15
S12,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Tom tat: Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,TIE,TIE,TIE,1.0,1.0,False,12,14
S13,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Tom tat: Can nop giay xac nhan y te trong vong 3 ngay lam viec.,TIE,TIE,TIE,1.0,1.0,False,13,15
S14,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,"Can kiem tra lai quy dinh, hien tai chua co thong tin xac thuc.",A,B,A,1.0,0.15,False,9,14
S15,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra thong tin bo sung nay khong can thiet cho cau hoi.,A,TIE,A,1.0,0.75,True,15,28
S16,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Tom tat: Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,A,TIE,A,1.0,0.95,True,16,18
S17,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Tom tat: Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,A,TIE,A,1.0,0.9,True,14,16
S18,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,TIE,TIE,TIE,1.0,1.0,False,14,14
S19,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Tom tat: Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,A,TIE,A,1.0,0.9,True,13,15
S20,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra thong tin bo sung nay khong can thiet cho cau hoi.,TIE,TIE,A,1.0,0.9,False,12,25
