id,question,ground_truth,answer,contexts,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall,avg_score
S01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple,0.7882,0.6667,0.5882,1.0,0.7608
S02,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,"[""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",simple,0.8714,0.3333,0.3125,1.0,0.6293
S03,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,"[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",simple,0.7176,0.8,0.4211,1.0,0.7347
S04,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,"[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",simple,0.95,0.4286,0.3571,1.0,0.6839
S05,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"[""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",simple,0.7375,0.4706,0.4118,1.0,0.655
S06,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,"[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.""]",simple,0.6571,0.2667,0.1667,1.0,0.5226
S07,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,"[""Ho so nhan su luu tru toi da 5 nam.""]",simple,0.6333,0.4706,0.3333,1.0,0.6093
S08,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,"[""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",simple,0.7429,0.6111,0.3636,1.0,0.6794
S09,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple,0.7882,0.6667,0.5882,1.0,0.7608
S10,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,"[""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",simple,0.8714,0.3333,0.3125,1.0,0.6293
S11,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,"[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",simple,0.7176,0.8,0.4211,1.0,0.7347
S12,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,"[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",simple,0.95,0.4286,0.3571,1.0,0.6839
S13,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"[""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",simple,0.7375,0.4706,0.4118,1.0,0.655
S14,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,"[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.""]",simple,0.6571,0.2667,0.1667,1.0,0.5226
S15,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,"[""Ho so nhan su luu tru toi da 5 nam.""]",simple,0.6333,0.4706,0.3333,1.0,0.6093
S16,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,"[""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",simple,0.7429,0.6111,0.3636,1.0,0.6794
S17,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple,0.7882,0.6667,0.5882,1.0,0.7608
S18,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,"[""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",simple,0.8714,0.3333,0.3125,1.0,0.6293
S19,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,"[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",simple,0.7176,0.8,0.4211,1.0,0.7347
S20,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,"[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",simple,0.95,0.4286,0.3571,1.0,0.6839
S21,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"[""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",simple,0.7375,0.4706,0.4118,1.0,0.655
